JobID,Jobtitle,Companies,Locations,Experience,Skills,Salary,Reviews,Age of post,Job type,Logo,Rating,Job Description
3269,acn - digital - analytics - big data - 09,accenture solutions pvt ltd,['gurgaon/gurugram'],1-6 yrs,"['product management', 'computer science', 'automation', 'prototype', 'git', 'sas', 'consulting', 'machine learning']",not disclosed,16912,28 days ago,premium,logo present,3.9,"as a machine learning engineer, you ll be required to develop a more holistic understan..."
3270,data engineering lead,natwest group,['gurgaon/gurugram'],6-10 yrs,"['pyspark', 'hadoop', 'informatica powercenter']",not disclosed,31,28 days ago,hot job,logo present,3.8,"good knowledge of cloud technologies such as amazon web services, google cloud platform..."
3271,fresher – software developer,coder solutions,"['pune', ' bangalore/bengaluru', ' mumbai (all areas)']",0-1 yrs,"['verbal communications', 'analytical', 'written', 'java', 'coding', 'artificial intelligence', '.net', 'asp.net']","3,75,000 - 6,00,000 pa.",0,3 days ago,none,no logo,0,excellent opportunity for fresher’s to gain real-time work experience on the job and ga...
3272,platform architect (big data),talpro,"['gurgaon/gurugram', ' bangalore/bengaluru', ' delhi / ncr']",8-13 yrs,"['java', 'storm', 'hive', 'presto', 'big data', 'hdfs', 'kafka', 'flume']","75,00,000 - 1 cr and above pa.",0,14 days ago,premium,no logo,0,roles and responsibilities this position reports to the vice president - data science &...
3273,platform architect (big data),talpro,"['gurgaon/gurugram', ' bangalore/bengaluru', ' delhi / ncr']",8-13 yrs,"['java', 'storm', 'hive', 'presto', 'big data', 'hdfs', 'kafka', 'flume']","75,00,000 - 1 cr and above pa.",0,14 days ago,premium,no logo,0,roles and responsibilities this position reports to the vice president - data science &...
3274,data platform engineering lead,natwest markets,['gurgaon'],5-8 yrs,"['computer science', 'agile', 'data structures', 'data quality', 'informatica', 'oracle', 'analytics', 'sql']",not disclosed,16,30+ days ago,premium,no logo,3.7,join us as a data platform engineering lead this is an exciting opportunity to use your...
3275,data engineering architect,groundtruth,['gurgaon/gurugram'],7-12 yrs,"['computer science', 'managed services', 'pdf', 'coding', 'rdbms', 'software implementation', 'analytics', 'sql']",not disclosed,8,22 days ago,none,no logo,3.9,"you will be working with a high-performing team that believes in open communication, co..."
3276,data engineer,natwest group,['gurgaon/gurugram'],5-10 yrs,"['postgres', 'neo4j', 'mongodb']",not disclosed,31,27 days ago,hot job,logo present,3.8,good critical thinking and proven problem solving abilitiesgood knowledge of cloud tech...
3277,data engineering lead,natwest group,['gurgaon/gurugram'],4-8 yrs,"['computer science', 'automation', 'agile', 'data structures', 'informatica', 'oracle', 'apache', 'analytics']",not disclosed,31,30+ days ago,premium,no logo,3.8,good critical thinking and proven problem solving abilities good knowledge of cloud tec...
3278,acn - digital - analytics - big data - 08,accenture solutions pvt ltd,['gurgaon/gurugram'],2-5 yrs,"['it skills', 'testing', 'big data', 'customer analytics', 'digital analytics', 'data management', 'artificial intelligence', 'consulting']",not disclosed,16912,29 days ago,premium,logo present,3.9,minimum undergraduate technical degree (be / btech/ equivalent) or post-graduation degr...
3279,data specialist,agenty,['gurgaon'],2-7 yrs,"['business process', 'backend', 'front end', 'machine learning', 'javascript', 'html', 'mongodb', 'visual studio']",not disclosed,0,30+ days ago,none,no logo,0,"in this role, you will be working with our enterprise customers to build, host and main..."
3280,acn - digital - analytics - big data professional,accenture solutions pvt ltd,['gurgaon/gurugram'],2-5 yrs,"['customer analytics', 'digital analytics', 'data management', 'machine learning', 'data governance']",not disclosed,16912,30+ days ago,premium,logo present,3.9,qualifications minimum undergraduate technical degree (be / btech/ equivalent) or post-...
3281,manager econometric modelling/data modelling,spectral consultants,['gurgaon/gurugram'],3-5 yrs,"['demand estimation', 'economics', 'telecom', 'data modeling', 'machine learning', 'healthcare', 'management', 'econometrics']",not disclosed,2,30+ days ago,premium,no logo,5,minimum of 3 years direct experience in pu domain with involvement in pu related modell...
3282,senior manager - data analytics - aws,huquo consulting pvt. ltd,['gurgaon/gurugram'],8-13 yrs,"['data science', 'data quality', 'artificial intelligence', 'data management', 'data modeling', 'data analytics', 'machine learning', 'statistics']",not disclosed,0,30+ days ago,premium,no logo,0,analytical senior manager - aws- person will be part of the data analytics team for a m...
3283,senior manager/ manager - data science - pricing analytics,talpro,"['gurgaon/gurugram', ' delhi / ncr']",5-8 yrs,"['data science', 'supply chain analytics', 'data management', 'analytics', 'business analysis', 'predictive analytics']",not disclosed,0,28 days ago,hot job,no logo,0,senior manager/ manager - data science - pricing analytics & scm analyticsb.tech/ m.tec...
3284,head data innovation & analytics platform,augusta infotech,['gurgaon/gurugram'],12-16 yrs,"['rdbms', 'data visualization', 'business intelligence', 'mongodb', 'database designproduct engineering', 'hbase', 'sourcing', 'azure']",not disclosed,9,30+ days ago,none,logo present,3.1,led data platform solutions engagement using big data technologies like hadoop and spar...
3285,data engineer,builder.ai,['gurgaon/gurugram'],1-4 yrs,"['it skills', 'python', 'data science', 'machine learning', 'artificial intelligence', 'cloud', 'aws', 'data engineer']",not disclosed,3,30+ days ago,none,no logo,3.9,experience configuring and deploying graph database solid programming experience in one...
3286,sr associate director - data science - insurance - iit/ iim/ nit/ xlri,huquo consulting pvt. ltd,['gurgaon/gurugram'],7-12 yrs,"['it skills', 'python', 'data science', 'machine learning', 'project management', 'bpo', 'project management', 'consulting - bfsi']",not disclosed,0,30+ days ago,premium,no logo,0,sr. associate director-data science-iit/iim/nit/xlri (7-15 yrs)role overview:- the pers...
3287,acn - digital - data & insights - 09,accenture solutions pvt ltd,['gurgaon/gurugram'],2-5 yrs,"['business process', 'process design', 'process automation', 'data management', 'analytical', 'risk assessment', 'machine learning', 'marketing operations']",not disclosed,16912,30+ days ago,premium,logo present,3.9,build analytical use cases in ai and machine learning across different functions includ...
3288,head data innovation & analytics platform,augusta infotech,['gurgaon/gurugram'],12-16 yrs,"['product engineering', 'azure', 'database design', 'mongodb', 'data visualization', 'business intelligence', 'hbase', 'analytics']",not disclosed,9,30+ days ago,premium,logo present,3.1,led data platform solutions engagement using big data technologies like hadoop and spar...
3289,data analytics,ernst and young services pvt. ltd,['gurgaon/gurugram'],2-5 yrs,"['predictive modeling', 'r', 'data wrangling', 'data visualization', 'knime', 'data cleaning', 'data analytics', 'machine learning']",not disclosed,2660,30+ days ago,premium,logo present,3.6,1+ year of professional experience preferredshould have working knowledge of analytics ...
3290,data engineering lead,natwest markets,['gurgaon'],4-8 yrs,"['computer science', 'automation', 'agile', 'data structures', 'informatica', 'oracle', 'apache', 'analytics']",not disclosed,16,30+ days ago,premium,no logo,3.7,good critical thinking and proven problem solving abilities good knowledge of cloud tec...
3291,database analyst - sql/ mongodb/ big data tools,talent acceleration corridor,['gurgaon/gurugram'],3-6 yrs,"['nosql', 'data management', 'mysql', 'hadoop', 'cassandra', 'big data', 'data analyst', 'mongodb']",not disclosed,0,29 days ago,premium,no logo,0,must have experience with mysql and mongodbskills / requirements : - 3-6 years of exper...
